location;Code;Year;Executions;Meningitis;Alzheimer;Parkinson;Nutritional_deficiencies;Malaria;Drowning;Interpersonal_violence;Maternal_disorders;HIV/AIDS;Drug_use_disorders;Tuberculosis;Cardiovascular_diseases;Lower_respiratory_infections;Neonatal_disorders;Alcohol_use_disorders;Self-harm;Exposure_to_forces_of_nature;Diarrheal;Environmental_heat_and_cold_exposure;Neoplasms;Conflict_and_terrorism;Diabetes_mellitus;Chronic_kidney;Poisonings;Protein-energy_malnutrition;Terrorism;Road_injuries;Chronic_respiratory;Cirrhosis_and_other_chronic liver;Digestive;Fire_heat_and_hot_substances;Acute_hepatitis;covid_death
Barbados;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7.0
Benin;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.0
Brunei;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;95.0
Bangladesh;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1088.0
Bosnia and Herzegovina;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4061.0
Bosnia and Herzegovina;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9403.0
British Virgin Islands;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.0
Botswana;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.0
Bolivia;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2275.0
Botswana;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2402.0
Brunei;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0
Bolivia;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10515.0
Botswana;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;306.0
Belgium;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8803.0
Burundi;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.0
Bermuda;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.0
Belize;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;78.0
Belize;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;358.0
Bhutan;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0
Burkina Faso;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.0
Brazil;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52607.0
Bulgaria;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6302.0
Burkina Faso;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;233.0
Bolivia;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9165.0
Bulgaria;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23379.0
Burkina Faso;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;85.0
Bosnia and Herzegovina;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2364.0
Brazil;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;424262.0
Bangladesh;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20513.0
Bhutan;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18.0
Brazil;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;195072.0
Belgium;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19645.0
Belarus;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1400.0
Bermuda;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100.0
Bermuda;;2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.0
Bonaire Sint Eustatius and Saba;;2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0
Barbados;;2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;253.0
